model_full1
C:\environment\homework_module7\venv\Scripts\python.exe C:/environment/homework_module7/novoe.py
Epoch 44/100, Train Loss: 0.3758, Val Loss: 0.3764
Epoch 45/100, Train Loss: 0.3758, Val Loss: 0.3762
Epoch 46/100, Train Loss: 0.3756, Val Loss: 0.3760
Epoch 47/100, Train Loss: 0.3758, Val Loss: 0.3760
Epoch 48/100, Train Loss: 0.3755, Val Loss: 0.3761
Epoch 49/100, Train Loss: 0.3755, Val Loss: 0.3761
Epoch 50/100, Train Loss: 0.3755, Val Loss: 0.3762
Epoch 51/100, Train Loss: 0.3754, Val Loss: 0.3760
Epoch 52/100, Train Loss: 0.3754, Val Loss: 0.3761
Epoch 53/100, Train Loss: 0.3756, Val Loss: 0.3762
Epoch 54/100, Train Loss: 0.3755, Val Loss: 0.3760
Epoch 55/100, Train Loss: 0.3752, Val Loss: 0.3761
Epoch 56/100, Train Loss: 0.3751, Val Loss: 0.3760
Epoch 57/100, Train Loss: 0.3751, Val Loss: 0.3760
Epoch 58/100, Train Loss: 0.3752, Val Loss: 0.3761
Epoch 59/100, Train Loss: 0.3752, Val Loss: 0.3760
Epoch 60/100, Train Loss: 0.3750, Val Loss: 0.3759
Epoch 61/100, Train Loss: 0.3749, Val Loss: 0.3760
Epoch 62/100, Train Loss: 0.3754, Val Loss: 0.3761
Epoch 63/100, Train Loss: 0.3751, Val Loss: 0.3760
Epoch 64/100, Train Loss: 0.3748, Val Loss: 0.3760
Epoch 65/100, Train Loss: 0.3748, Val Loss: 0.3760
Epoch 66/100, Train Loss: 0.3748, Val Loss: 0.3760
Epoch 67/100, Train Loss: 0.3747, Val Loss: 0.3760
Epoch 68/100, Train Loss: 0.3747, Val Loss: 0.3760
Epoch 69/100, Train Loss: 0.3747, Val Loss: 0.3760
Epoch 70/100, Train Loss: 0.3753, Val Loss: 0.3767
Epoch 71/100, Train Loss: 0.3750, Val Loss: 0.3760
Epoch 72/100, Train Loss: 0.3746, Val Loss: 0.3760
Epoch 73/100, Train Loss: 0.3745, Val Loss: 0.3760
Epoch 74/100, Train Loss: 0.3744, Val Loss: 0.3761
Epoch 75/100, Train Loss: 0.3744, Val Loss: 0.3761
Epoch 76/100, Train Loss: 0.3744, Val Loss: 0.3761
Epoch 77/100, Train Loss: 0.3743, Val Loss: 0.3761
Epoch 78/100, Train Loss: 0.3744, Val Loss: 0.3762
Epoch 79/100, Train Loss: 0.3746, Val Loss: 0.3761
Epoch 80/100, Train Loss: 0.3743, Val Loss: 0.3762
Epoch 81/100, Train Loss: 0.3742, Val Loss: 0.3762
Epoch 82/100, Train Loss: 0.3741, Val Loss: 0.3761
Epoch 83/100, Train Loss: 0.3740, Val Loss: 0.3762
Epoch 84/100, Train Loss: 0.3740, Val Loss: 0.3762
Epoch 85/100, Train Loss: 0.3740, Val Loss: 0.3762
Epoch 86/100, Train Loss: 0.3739, Val Loss: 0.3762
Epoch 87/100, Train Loss: 0.3739, Val Loss: 0.3762
Epoch 88/100, Train Loss: 0.3740, Val Loss: 0.3763
Epoch 89/100, Train Loss: 0.3739, Val Loss: 0.3763
Epoch 90/100, Train Loss: 0.3738, Val Loss: 0.3763
Epoch 91/100, Train Loss: 0.3737, Val Loss: 0.3764
Epoch 92/100, Train Loss: 0.3737, Val Loss: 0.3763
Epoch 93/100, Train Loss: 0.3736, Val Loss: 0.3764
Epoch 94/100, Train Loss: 0.3736, Val Loss: 0.3764
Epoch 95/100, Train Loss: 0.3736, Val Loss: 0.3764
Epoch 96/100, Train Loss: 0.3736, Val Loss: 0.3764
Epoch 97/100, Train Loss: 0.3742, Val Loss: 0.3765
Epoch 98/100, Train Loss: 0.3737, Val Loss: 0.3764
Epoch 99/100, Train Loss: 0.3735, Val Loss: 0.3765
Epoch 100/100, Train Loss: 0.3734, Val Loss: 0.3765
Mean IoU on test set: 0.4904

Process finished with exit code 0
